Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
SÉRAPHINE,80,88,None,"Biography, Drama, War",French (Canada),Martin Provost,"Miléna Poylo, Gilles Sacuto","Marc Abdelnour, Martin Provost",2009-06-05,2009-06-02,$883.3K,2h 5m,Music Box Films,,,
THE BARBARIAN INVASIONS,88,81,R,"Comedy, Drama",French (Canada),Denys Arcand,"Denise Robert, Daniel Louis",Denys Arcand,2003-08-30,2004-07-13,$3.4M,1h 39m,Miramax Films,,,
THE BIG PICTURE,63,86,None,Drama,French (Canada),Éric Lartigau,Pierre-Ange Le Pogam,"Stéphane Cabel, Laurent De Bartillat, Éric Lartigau, Laurent De Bartillat, Éric Lartigau, Stéphane Cabel",,2011-01-04,$158.4K,1h 54m,,,,
THE DISCREET CHARM OF THE BOURGEOISIE,89,98,PG,Comedy,French (Canada),Luis Buñuel,Serge Silberman,"Luis Buñuel, Jean-Claude Carrière",1972-09-15,2008-10-28,$74.9K,1h 40m,"Applause Video, Media Home Entertainment, Rialto Pictures, 20th Century Fox, Criterion Collection",Mono,,
THE FATHER OF MY CHILDREN,61,90,None,Drama,French (Canada),Mia Hansen-Løve,"Oliver Damian, Philippe Martin, David Thion","Mia Hansen-Løve, Mia Hansen-Løve",2010-05-21,2011-03-29,$144.0K,1h 50m,IFC Films,,,
THE HEDGEHOG,83,87,None,"Comedy, Drama",French (Canada),Mona Achache,Anne-Dominique Toussaint,Mona Achache,2011-08-19,2012-01-17,,1h 40m,Neoclassic Films,,,
THE KID WITH A BIKE,76,96,PG-13,Drama,French (Canada),"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne, Denis Freyd","Jean-Pierre Dardenne, Luc Dardenne, Jean-Pierre Dardenne, Luc Dardenne",2012-03-16,2013-02-12,$20.5K,1h 27m,IFC Films,,,
THE MAN ON THE TRAIN,79,92,R,"Comedy, Drama",French (Canada),Patrice Leconte,Philippe Carcassonne,Claude Klotz,2003-05-09,2003-11-25,$2.5M,1h 30m,Paramount Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Scope (2.35:1),
THE MIDWIFE,78,88,None,"Comedy, Drama",French (France),Martin Provost,"Olivier Delbosc, Jacques-Henri Bronckart, Olivier Bronckart","Martin Provost, Martin Provost",2017-07-21,2017-10-17,$603.1K,1h 57m,Music Box Films,,,
THE NEW GIRLFRIEND,61,80,R,"Mystery & Thriller, Comedy, Drama",French (Canada),François Ozon,"Éric Altmayer, Nicolas Altmayer","François Ozon, François Ozon",2015-09-18,2016-07-02,$130.3K,1h 47m,Cohen Media Group,,,
THE PAGE TURNER,67,77,None,"Drama, Mystery & Thriller",French (Canada),Denis Dercourt,,,,2014-03-04,$208.7K,1h 25m,,,,
THE TRIPLETS OF BELLEVILLE,90,94,PG-13,"Comedy, Animation",French (Canada),Sylvain Chomet,Didier Brunner,,2003-11-21,2004-05-04,$7.0M,1h 22m,Sony Pictures Classics,,,
THE WAGES OF FEAR,95,100,None,Mystery & Thriller,French (Canada),Henri-Georges Clouzot,"Raymond Borderie, Henri-Georges Clouzot, Louis Wipf","Henri-Georges Clouzot, Georges Arnaud, Jérôme Géronimi",1953-01-01,2005-10-25,,2h 36m,DCA Releasing,Mono,Academy (1.33:1),
THE WITNESSES,65,86,None,Drama,French (Canada),André Téchiné,Saïd Ben Saïd,"André Téchiné, Laurent Guyot, Viviane Zingg",,2009-11-24,$77.3K,1h 54m,,"Dolby Digital, DTS",,
THE YES MEN FIX THE WORLD,78,75,None,Documentary,English,"Andy Bichlbaum, Mike Bonanno, Kurt Engfehr","Doro Bachrach, Ruth Charny","Andy Bichlbaum, Mike Bonanno",,2010-04-06,,1h 30m,,,,
BLUE,93,98,R,Drama,French (Canada),Krzysztof Kieslowski,Marin Karmitz,,1993-12-03,2003-03-04,$539.2K,1h 37m,,Surround,,
THREE COLORS: RED,94,100,R,Drama,French (Canada),Krzysztof Kieslowski,,"Krzysztof Kieslowski, Krzysztof Piesiewicz",,2003-03-04,$858.4K,1h 39m,,Surround,,
TOMBOY,83,96,None,Drama,French (Canada),Céline Sciamma,Bénédicte Couvreur,"Céline Sciamma, Céline Sciamma",,2012-11-06,$113.8K,1h 24m,,,,
SHALL WE KISS?,62,78,None,"Comedy, Romance",French (Canada),Emmanuel Mouret,,Emmanuel Mouret,2009-03-27,2010-02-23,$535.4K,1h 42m,Music Box Films,,,
WHO KNOWS?,68,86,PG-13,"Romance, Comedy",French (Canada),Jacques Rivette,,,2001-09-28,2012-07-10,$907.3K,2h 34m,Sony Pictures Classics,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
VIVA RIVA!,51,87,R,Drama,French (Canada),Djo Munga,Djo Munga,"Djo Munga, Djo Munga",2011-06-10,2011-09-13,$61.8K,1h 36m,Music Box Films,,,
"HARRY, HE'S HERE TO HELP",79,96,R,"Mystery & Thriller, Comedy",French (Canada),Dominik Moll,Michel Saint-Jean,"Gilles Marchand, Dominik Moll",2000-05-11,2002-03-05,$3.8M,1h 57m,Miramax Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
A PROPHET,89,96,R,"Crime, Drama",French (France),Jacques Audiard,"Martine Cassinelli, Lauranne Bourrachot, Pascal Caucheteux, Marco Cherqui","Jacques Audiard, Thomas Bidegain, Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri, Nicolas Peufaillit",2010-02-26,2010-08-03,$2.1M,2h 34m,Sony Pictures Classics,,,
A VERY LONG ENGAGEMENT,85,78,R,"Drama, War, Mystery & Thriller, Romance",French (France),Jean-Pierre Jeunet,Angus Finney,"Sébastien Japrisot, Jean-Pierre Jeunet",2004-11-26,2005-05-24,,2h 14m,Warner Bros. Pictures,Surround,Scope (2.35:1),
L'ÉCONOMIE DU COUPLE,74,90,None,Drama,French (France),Joachim Lafosse,"Sylvie Pialat, Jacques-Henri Bronckart, Olivier Bronckart","Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Fanny Burdino, Joachim Lafosse",2017-08-09,2017-06-30,$13.6K,1h 40m,Distrib Films US,Dolby Digital,Scope (2.35:1),
ALPHAVILLE,81,91,None,"Sci-Fi, Drama, Mystery & Thriller",French (France),Jean-Luc Godard,,"Paul Éluard, Jean-Luc Godard",1965-05-05,1998-10-20,$46.6K,1h 38m,Janus Films,Mono,35mm,
AMÉLIE,95,89,R,"Romance, Comedy",French (France),Jean-Pierre Jeunet,Claudie Ossard,,2001-11-02,2002-07-16,$33.2M,2h 1m,Miramax Films,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Scope (2.35:1),
AMOUR,82,93,PG-13,Drama,French (France),Michael Haneke,"Margaret Ménégoz, Stefan Arndt, Veit Heideuschka, Michael Katz","Michael Haneke, Michael Haneke",2012-12-19,2013-08-20,$3.7M,2h 7m,Sony Pictures Classics,,,
ARMY IN THE SHADOWS,94,97,None,"War, History, Drama",French (France),Jean-Pierre Melville,Jacques Dorfmann,Jean-Pierre Melville,1969-09-12,2007-05-15,$24.6K,2h 20m,,,,
CHICKEN WITH PLUMS,71,74,PG-13,"Comedy, Drama",French (France),"Marjane Satrapi, Vincent Paronnaud",Hengameh Panahi,"Marjane Satrapi, Vincent Paronnaud",2012-08-17,2013-02-26,$253.7K,1h 31m,Sony Pictures Classics,,,
CHILDREN OF PARADISE,95,98,None,Romance,French (France),Marcel Carné,Raymond Borderie,Jacques Prévert,1945-11-15,2002-01-22,$31.9K,3h 15m,Criterion Collection,,,
DECLARATION OF WAR,70,86,None,Drama,French (France),Valérie Donzelli,Edouard Weil,"Valérie Donzelli, Jérémie Elkaïm",2012-01-27,2012-06-05,$46.2K,1h 40m,,,,
DELICATESSEN,91,89,R,Sci-Fi,French (France),"Jean-Pierre Jeunet, Marc Caro",Claudie Ossard,"Gilles Adrien, Marc Caro, Jean-Pierre Jeunet",1991-04-17,2008-08-26,$4.7K,1h 38m,Miramax Films,,,
DISORDER,51,73,None,"Mystery & Thriller, Drama",French (France),Alice Winocour,"Isabelle Madelaine, Emilie Tisné","Alice Winocour, Jean-Stéphane Bron",2016-08-12,2016-12-20,$39.7K,1h 41m,IFC Films,,,
ELEVATOR TO THE GALLOWS,91,93,None,Mystery & Thriller,French (France),Louis Malle,Jean Thuillier,"Noël Calef, Louis Malle, Roger Nimier, Roger Nimier",1958-06-10,2006-04-25,$104.8K,1h 30m,"Times Film Corporation, New Yorker Films",Mono,,
ELITE SQUAD 2,91,91,None,"Action, Crime, Drama",Portuguese (Brazil),José Padilha,"James D'Arcy, Leonardo Edde, Bráulio Mantovani, Malu Miranda, José Padilha, Marcos Prado, Carlos Eduardo Rodrigues","Bráulio Mantovani, José Padilha, Rodrigo Pimentel",2011-11-11,2012-02-14,$100.1K,1h 56m,Variance Films,,,
