Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
SHE WILL,48,85,None,"Drama, Mystery & Thriller",English,Charlotte Colbert,"Jessica Malik, Bob Last","Kitty Percy, Charlotte Colbert",2022-07-15,2022-07-15,,1h 35m,IFC Midnight,,,
THE PEANUTS MOVIE,76,87,G,"Kids & Family, Comedy, Adventure, Animation",English,Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano, Paul Feig, Michael J. Travers","Craig Schulz, Bryan Schulz, Cornelius Uliano",2015-11-06,2016-03-08,$130.1M,1h 29m,20th Century Fox,Dolby Atmos,Flat (1.85:1),
WILD,75,88,R,"Biography, Drama, Adventure",English,Jean-Marc Vallée,"Reese Witherspoon, Bruna Papandrea, Bill Pohlad",Nick Hornby,2014-12-03,2015-03-31,$37.7M,1h 55m,Fox Searchlight,Dolby Digital,,
THE KID WHO WOULD BE KING,55,90,PG,"Kids & Family, Fantasy, Adventure",English,Joe Cornish,"Nira Park, Tim Bevan, Eric Fellner",Joe Cornish,2019-01-25,2019-04-16,$16.8M,2h 0m,20th Century Fox,,Scope (2.35:1),
EMPIRE OF THE SUN,90,76,PG,Adventure,English,Steven Spielberg,"Kathleen Kennedy, Frank Marshall, Steven Spielberg",Tom Stoppard,1987-12-09,2001-11-06,$22.0M,2h 32m,Warner Bros. Pictures,Surround,,
HIS GIRL FRIDAY,90,99,None,Comedy,English,Howard Hawks,Howard Hawks,"Ben Hecht, Charles MacArthur, Charles Lederer",1940-01-11,2000-11-21,,1h 32m,Columbia Pictures,Mono,35mm,
SATURDAY NIGHT FEVER,71,83,R,"Drama, Music",English,John Badham,Robert Stigwood,"Nik Cohn, Norman Wexler",1977-12-16,2002-10-08,,1h 59m,Paramount Pictures,Surround,,
THE DESCENDANTS,79,87,R,"Comedy, Drama",English,Alexander Payne,"Jim Burke, Alexander Payne, Jim Taylor","Alexander Payne, Nat Faxon, Jim Rash",2011-11-23,2012-04-10,$82.6M,1h 55m,Fox Searchlight,"Dolby, SDDS",,
Y TU MAMÁ TAMBIÉN,88,92,None,"Comedy, Drama",Spanish,Alfonso Cuarón,"Alfonso Cuarón, Jorge Vergara","Alfonso Cuarón, Carlos Cuarón",2002-03-15,2002-10-22,$13.6M,1h 45m,IFC Films,"Surround, Dolby Digital, Dolby A, Dolby SR, Dolby Stereo",,
22 JULY,69,80,R,Drama,English,Paul Greengrass,"Scott Rudin, Eli Bush, Gregory Goodman, Paul Greengrass",Paul Greengrass,2018-10-10,2018-10-10,,2h 23m,Netflix,,Flat (1.85:1),
CARLITO'S WAY,91,81,R,"Crime, Drama",English,Brian De Palma,"Martin Bregman, Michael Scott Bregman, Willi Bär","Edwin Torres, David Koepp",1993-11-10,2003-09-02,$36.5M,2h 24m,"Argentina Video Home, Universal Pictures","Surround, Stereo",,
APOLLO 13,87,96,PG,"History, Drama",English,Ron Howard,Brian Grazer,"Jim Lovell, Jeffrey Kluger, William Broyles Jr., Al Reinert",1995-06-30,2005-01-04,$173.8M,2h 20m,Universal Pictures,Surround,,
LONG SHOT,74,81,R,"Romance, Comedy",English,Jonathan Levine,"Charlize Theron, A.J. Dix, Beth Kono, Evan Goldberg, Seth Rogen, James Weaver","Liz Hannah, Dan Sterling",2019-05-03,2019-07-16,$30.3M,2h 3m,"Lionsgate Films, Summit Entertainment",Dolby Digital,Scope (2.35:1),
MARY POPPINS RETURNS,65,80,PG,"Kids & Family, Musical, Fantasy, Adventure",English,Rob Marshall,"Rob Marshall, John DeLuca, Marc Platt",David Magee,2018-12-19,2019-03-12,$172.0M,2h 10m,Walt Disney,Dolby Atmos,Scope (2.35:1),
