Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
EVERYBODY KNOWS,61,78,R (Some Language),"Mystery & Thriller, Crime, Drama",Spanish (Spain),Asghar Farhadi,"Alexandre Mallet-Guy, Álvaro Longoria",Asghar Farhadi,"Nov 30, 2018  Limited","May 7, 2019",$2.6M,2h 13m,Focus Features,Dolby Digital,Flat (1.85:1),
OVER THE MOON,69,81,PG (Some Thematic Elements|Mild Action),"Kids & Family, Musical, Comedy, Adventure, Fantasy, Animation",English,Glen Keane,"Gennie Rim, Peilin Chou",Audrey Wells,"Oct 23, 2020  Limited","Oct 23, 2020",,1h 35m,,,Flat (1.85:1),
REPO MAN,78,98,R,Sci-Fi,English,Alex Cox,"Peter McCarthy, Jonathan Wacks",Alex Cox,"Mar 2, 1984  Original","Jan 24, 2006",,1h 33m,Universal Pictures,Mono,35mm,
THE ACT OF KILLING,85,95,,"Documentary, Biography, Crime, Drama, History, War",Indonesian,Joshua Oppenheimer,"Anne Köhncke, Signe Byrge Sørensen",,"Jul 19, 2013  Limited","Apr 1, 2014",$484.2K,2h 2m,Drafthouse Films,,,
ALL ABOUT EVE,94,99,,Drama,English,Joseph L. Mankiewicz,Darryl F Zanuck,Joseph L. Mankiewicz,"Oct 13, 1950  Original","Feb 5, 2004",$10.2K,2h 18m,"20th Century Fox, Fox",Mono,Flat (1.37:1),
SUPER DARK TIMES,72,90,,"Mystery & Thriller, Drama",English,Kevin Phillips,"Richard Peete, Jett Steiger, Edward Parks","Luke Piotrowski, Ben Collins","Sep 29, 2017  Limited","Oct 3, 2017",$33.1K,1h 42m,The Orchard,,,
TELL ME WHO I AM,88,97,,Drama,English,Ed Perkins,Simon Chinn,,,"Oct 18, 2019",,1h 25m,,,,
THE QUEEN,76,97,PG-13 (Brief Strong Language),"Biography, Drama, History",English,Stephen Frears,"Andy Harries, Christine Langan, Tracey Seaward",Peter Morgan,"Sep 30, 2006  Limited","Apr 24, 2007",$56.4M,1h 41m,Miramax Films,,,
THE TEN COMMANDMENTS,87,84,G,"History, Drama",English,Cecil B. DeMille,Cecil B. DeMille,"Æneas MacKenzie, Jesse Lasky Jr., Fredric M Frank, Jack Gariss","Oct 5, 1956  Original","Mar 29, 2011",,3h 40m,Paramount Pictures,Stereo,Flat (1.85:1),
13 ASSASSINS,88,95,R (Some Disturbing Images|Sequences of Bloody Violence|Brief Nudity),"Action, Adventure, History, Drama",Japanese,Takashi Miike,"Minami Ichikawa, Tôichirô Shiraishi, Michihiko Yanagisawa",Daisuke Tengan,"Apr 29, 2011  Limited","Jul 5, 2011",$802.5K,2h 6m,Magnet Releasing,,,
CONFESSIONS OF A DANGEROUS MIND,75,79,R (Sexual Content|Language|Violence),"Biography, Comedy, Drama",English,George Clooney,Andrew Lazar,"Chuck Barris, Charlie Kaufman","Jan 17, 2003  Wide","Sep 9, 2003",$16.0M,1h 53m,Miramax Films,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",Scope (2.35:1),
HYPOCHONDRIAC,54,84,,"Horror, Mystery & Thriller, Lgbtq+",English,Addison Heimann,"Bay Dariz, John Humber",Addison Heimann,"Jul 29, 2022  Limited","Aug 4, 2022",,1h 36m,XYZ Films,,,
INVASION OF THE BODY SNATCHERS,82,92,PG,Sci-Fi,English,Philip Kaufman,Robert H. Solo,"Jack Finney, W.D. Richter","Dec 22, 1978  Original","Sep 5, 2006",,1h 55m,United Artists,"Surround, Stereo, Dolby",35mm,
JACKIE,60,88,R (Some Language|Brief Strong Violence),"History, Drama, Biography",English,Pablo Larraín,"Juan de Dios Larraín, Darren Aronofsky, Mickey Liddell, Scott Franklin, Ari Handel",Noah Oppenheim,"Jan 27, 2017  Wide","Mar 7, 2017",$14.0M,1h 39m,Fox Searchlight,,,
SEE YOU YESTERDAY,40,93,,"Action, Adventure, Sci-Fi",English,Stefon Bristol,Spike Lee,"Stefon Bristol, Fredrica Bailey",,"May 17, 2019",,1h 26m,,,,
A MAN ESCAPED,93,100,,Action,French (Canada),Robert Bresson,"Alain Poiré, Jean Thuillier",,"Aug 26, 1957  Original","Mar 26, 2013",,1h 42m,New Yorker Films,Mono,,
