Movie Name,Audience Score,Tomatometer Score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
THE TRIPLETS OF BELLEVILLE,90,94,PG-13 (Violence|Sensuality|Crude Humor),"Comedy, Animation",French (Canada),Sylvain Chomet,Didier Brunner,,"Nov 21, 2003  Original","May 4, 2004",$7.0M,1h 22m,Sony Pictures Classics,,,
THE WAGES OF FEAR,95,100,,Mystery & Thriller,French (Canada),Henri-Georges Clouzot,"Raymond Borderie, Henri-Georges Clouzot, Louis Wipf","Henri-Georges Clouzot, Georges Arnaud, Jérôme Géronimi","Jan 1, 1953  Wide","Oct 25, 2005",,2h 36m,DCA Releasing,Mono,Academy (1.33:1),
THE WITNESSES,65,86,,Drama,French (Canada),André Téchiné,Saïd Ben Saïd,"André Téchiné, Laurent Guyot, Viviane Zingg",,"Nov 24, 2009",$77.3K,1h 54m,,"Dolby Digital, DTS",,
THE YES MEN FIX THE WORLD,78,75,,Documentary,English,"Andy Bichlbaum, Mike Bonanno, Kurt Engfehr","Doro Bachrach, Ruth Charny","Andy Bichlbaum, Mike Bonanno",,"Apr 6, 2010",,1h 30m,,,,
BLUE,93,98,R,Drama,French (Canada),Krzysztof Kieslowski,Marin Karmitz,,"Dec 3, 1993  Original","Mar 4, 2003",$539.2K,1h 37m,,Surround,,
THREE COLORS: RED,94,100,R (Brief Strong Sex Scene),Drama,French (Canada),Krzysztof Kieslowski,,"Krzysztof Kieslowski, Krzysztof Piesiewicz",,"Mar 4, 2003",$858.4K,1h 39m,,Surround,,
TOMBOY,83,96,,Drama,French (Canada),Céline Sciamma,Bénédicte Couvreur,"Céline Sciamma, Céline Sciamma",,"Nov 6, 2012",$113.8K,1h 24m,,,,
SHALL WE KISS?,62,78,,"Comedy, Romance",French (Canada),Emmanuel Mouret,,Emmanuel Mouret,"Mar 27, 2009  Limited","Feb 23, 2010",$535.4K,1h 42m,Music Box Films,,,
WHO KNOWS?,68,86,PG-13 (Brief Nudity),"Romance, Comedy",French (Canada),Jacques Rivette,,,"Sep 28, 2001  Wide","Jul 10, 2012",$907.3K,2h 34m,Sony Pictures Classics,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1),
VIVA RIVA!,51,87,R (Language|Graphic Nudity|Brutal Violence|Some Drug Use|Strong Sexuality),Drama,French (Canada),Djo Munga,Djo Munga,"Djo Munga, Djo Munga","Jun 10, 2011  Limited","Sep 13, 2011",$61.8K,1h 36m,Music Box Films,,,
"HARRY, HE'S HERE TO HELP",79,96,R (Scene of Nudity|Language|Violence),"Mystery & Thriller, Comedy",French (Canada),Dominik Moll,Michel Saint-Jean,"Gilles Marchand, Dominik Moll","May 11, 2000  Original","Mar 5, 2002",$3.8M,1h 57m,Miramax Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Scope (2.35:1),
A PROPHET,89,96,R (Language|Drug Material|Nudity|Sexual Content|Strong Violence),"Crime, Drama",French (France),Jacques Audiard,"Martine Cassinelli, Lauranne Bourrachot, Pascal Caucheteux, Marco Cherqui","Jacques Audiard, Thomas Bidegain, Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri, Nicolas Peufaillit","Feb 26, 2010  Limited","Aug 3, 2010",$2.1M,2h 34m,Sony Pictures Classics,,,
A VERY LONG ENGAGEMENT,85,78,R (Violence|Sexuality),"Drama, War, Mystery & Thriller, Romance",French (France),Jean-Pierre Jeunet,Angus Finney,"Sébastien Japrisot, Jean-Pierre Jeunet","Nov 26, 2004  Wide","May 24, 2005",,2h 14m,Warner Bros. Pictures,Surround,Scope (2.35:1),
L'ÉCONOMIE DU COUPLE,74,90,,Drama,French (France),Joachim Lafosse,"Sylvie Pialat, Jacques-Henri Bronckart, Olivier Bronckart","Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Fanny Burdino, Joachim Lafosse","Aug 9, 2017  Limited","Jun 30, 2017",$13.6K,1h 40m,Distrib Films US,Dolby Digital,Scope (2.35:1),
ALPHAVILLE,81,91,,"Sci-Fi, Drama, Mystery & Thriller",French (France),Jean-Luc Godard,,"Paul Éluard, Jean-Luc Godard","May 5, 1965  Original","Oct 20, 1998",$46.6K,1h 38m,Janus Films,Mono,35mm,
AMÉLIE,95,89,R (Sexual Content),"Romance, Comedy",French (France),Jean-Pierre Jeunet,Claudie Ossard,,"Nov 2, 2001  Wide","Jul 16, 2002",$33.2M,2h 1m,Miramax Films,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",Scope (2.35:1),
AMOUR,82,93,PG-13 (Brief Language|A Disturbing Act|Mature Thematic Material),Drama,French (France),Michael Haneke,"Margaret Ménégoz, Stefan Arndt, Veit Heideuschka, Michael Katz","Michael Haneke, Michael Haneke","Dec 19, 2012  Limited","Aug 20, 2013",$3.7M,2h 7m,Sony Pictures Classics,,,
ARMY IN THE SHADOWS,94,97,,"War, History, Drama",French (France),Jean-Pierre Melville,Jacques Dorfmann,Jean-Pierre Melville,"Sep 12, 1969  Original","May 15, 2007",$24.6K,2h 20m,,,,
CHICKEN WITH PLUMS,71,74,PG-13 (Some Drug Content|Smoking|Sensuality|Violent Images),"Comedy, Drama",French (France),"Marjane Satrapi, Vincent Paronnaud",Hengameh Panahi,"Marjane Satrapi, Vincent Paronnaud","Aug 17, 2012  Limited","Feb 26, 2013",$253.7K,1h 31m,Sony Pictures Classics,,,
CHILDREN OF PARADISE,95,98,,Romance,French (France),Marcel Carné,Raymond Borderie,Jacques Prévert,"Nov 15, 1945  Original","Jan 22, 2002",$31.9K,3h 15m,Criterion Collection,,,
DECLARATION OF WAR,70,86,,Drama,French (France),Valérie Donzelli,Edouard Weil,"Valérie Donzelli, Jérémie Elkaïm","Jan 27, 2012  Limited","Jun 5, 2012",$46.2K,1h 40m,,,,
DELICATESSEN,91,89,R,Sci-Fi,French (France),"Jean-Pierre Jeunet, Marc Caro",Claudie Ossard,"Gilles Adrien, Marc Caro, Jean-Pierre Jeunet","Apr 17, 1991  Original","Aug 26, 2008",$4.7K,1h 38m,Miramax Films,,,
DISORDER,51,73,,"Mystery & Thriller, Drama",French (France),Alice Winocour,"Isabelle Madelaine, Emilie Tisné","Alice Winocour, Jean-Stéphane Bron","Aug 12, 2016  Limited","Dec 20, 2016",$39.7K,1h 41m,IFC Films,,,
ELEVATOR TO THE GALLOWS,91,93,,Mystery & Thriller,French (France),Louis Malle,Jean Thuillier,"Noël Calef, Louis Malle, Roger Nimier, Roger Nimier","Jun 10, 1958  Original","Apr 25, 2006",$104.8K,1h 30m,"Times Film Corporation, New Yorker Films",Mono,,
