Movie Name;Audience Score;Tomatometer Score;Rating;Genre;Original Language;Director;Producer;Writer;Release Date (Theaters);Release Date (Streaming);Box Office (Gross USA);Runtime;Distributor;Sound Mix;Aspect Ratio;View the collection
A GIRL WALKS HOME ALONE AT NIGHT;75;96;None;Horror, Drama, Mystery & Thriller;Persian;Ana Lily Amirpour;Ana Lily Amirpour, Justin Begnaud, Sheri Davani, Sina Sayyah;Ana Lily Amirpour;2014.11.21;2015.04.21;$299.3K;1h 45m;Kino Lorber;;;
OSS 117: CAIRO, NEST OF SPIES;75;77;None;Comedy, Action, Adventure;French (France);Michel Hazanavicius;Éric Altmayer, Nicolas Altmayer, Sidonie Dumas, Nicolas Seydoux, Franck Chorot, Christophe Riandee, Manuel Alduy, Bertrand Maheux;Jean-François Halin, Jean-François Halin, Michel Hazanavicius;;2008.09.30;$302.8K;1h 39m;;;;
FORCE MAJEURE;75;94;R;Comedy, Drama;Swedish;Ruben Östlund;Erik Hemmendorff, Marie Kjellson, Philippe Bober;Ruben Östlund;2014.10.24;2015.02.10;$1.4M;2h 0m;Magnolia Pictures;Dolby Digital;Digital 2.39:1;
THE GROCER'S SON;75;90;None;Drama;French (Canada);Eric Guirado;Miléna Poylo, Gilles Sacuto;Eric Guirado, Florence Vignon;2008.06.06;2009.02.24;$276.5K;1h 36m;;;;
PRICELESS;75;82;PG-13;Comedy, Romance;French (France);Pierre Salvadori;Philippe Martin;Pierre Salvadori, Benoît Graffin;2008.03.28;2008.11.18;$2.2M;1h 46m;Samuel Goldwyn Company;;;
YOSSI & JAGGER;75;86;R;Drama;Hebrew;Eytan Fox;Amir Harel, Gal Uchovsky;;2003.10.10;2004.04.13;$141.1K;1h 7m;Strand Releasing;Surround;;
THE FOUR TIMES;75;93;None;Drama;Italian;Michelangelo Frammartino;Philippe Bober, Elda Guidinetti, Marta Donzelli, Gabriella Manfré;Michelangelo Frammartino;;2011.09.13;$152.5K;1h 28m;;;;
HARA-KIRI: DEATH OF A SAMURAI;75;77;None;History, Drama;Japanese;Takashi Miike;Toshiaki Nakazawa, Jeremy Thomas;Kikumi Yamagishi;2012.07.20;2014.12.18;$60.2K;2h 6m;Tribeca Film;;;
KATYN;75;91;None;Drama;Polish;Andrzej Wajda;Michal Kwiecinski;Andrzej Mularczyk, Andrzej Wajda;;2009.08.11;$114.8K;2h 1m;;;;
SILENT SOULS;75;96;None;Drama;Russian;Alexsey Fedorchenko;Igor Mishin, Mary Nazari, Dmitriy Vorobyov;Denis Osokin;;2013.02.26;;1h 15m;;;;
BROKEN EMBRACES;75;82;R;Drama, Mystery & Thriller;Spanish (Spain);Pedro Almodóvar;Esther García;Pedro Almodóvar;2009.11.20;2010.03.16;$5.0M;2h 8m;Sony Pictures Classics;;;
TEARS OF THE BLACK TIGER;75;75;None;Action, Comedy;Thai;Wisit Sasanatieng;Nonzee Nimibutr;Wisit Sasanatieng;2007.01.12;2007.04.24;$74.4K;1h 50m;Magnolia Films;;;
GIRL;74;84;R;Drama;French (France);Lukas Dhont;Dirk Impens;Lukas Dhont, Angelo Tijssens;;2019.03.15;;1h 40m;;;;
OXYGEN;74;88;None;Mystery & Thriller, Sci-Fi;French (France);Alexandre Aja;Brahim Chioua, Noémie Devide, Grégory Levasseur, Vincent Maraval, Alexandre Aja;Christie LeBlanc;;2021.05.12;;1h 41m;;;;
SUPERCOP;74;92;R;Action;Chinese;Stanley Tong;Willie Chan, Edward Tang;Edward Tang, Fibe Ma, Lee Wai Yee;1992.07.26;2009.01.13;$16.2M;1h 31m;;Stereo;;
UP AND DOWN;74;83;R;Comedy, Drama;Czech;Jan Hrebejk;Ondrej Trojan;Jan Hrebejk, Petr Jarchovský;2004.09.05;2005.07.19;$244.1K;1h 48m;Sony Pictures Classics;Surround, Dolby SRD;Scope (2.35:1);
MICMACS;74;72;R;Comedy, Crime, Drama;French (Canada);Jean-Pierre Jeunet;Frédéric Brillion, Jean-Pierre Jeunet, Gilles Legrand;Jean-Pierre Jeunet, Guillaume Laurant;2010.05.28;2010.09.07;$1.3M;1h 45m;Sony Pictures Classics;;;
L'ÉCONOMIE DU COUPLE;74;90;None;Drama;French (France);Joachim Lafosse;Sylvie Pialat, Jacques-Henri Bronckart, Olivier Bronckart;Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Fanny Burdino, Joachim Lafosse;2017.08.09;2017.06.30;$13.6K;1h 40m;Distrib Films US;Dolby Digital;Scope (2.35:1);
CAESAR MUST DIE;74;92;None;Drama;Italian;Paolo Taviani, Vittorio Taviani;Agnese Fontana, Cecilia Valmarana, Grazia Volpi, Donatella Palermo, Laura Andreini Salerno;Paolo Taviani, Vittorio Taviani;;2013.12.24;;1h 16m;;;;
OFFSIDE;74;94;PG;Comedy;Persian;Jafar Panahi;Jafar Panahi;Jafar Panahi, Shadmehr Rastin;2007.03.23;2007.08.28;$179.9K;1h 32m;Sony Pictures Classics;DTS;;
12:08 EAST OF BUCHAREST;74;96;None;Comedy;Romanian;Corneliu Porumboiu;Corneliu Porumboiu;Corneliu Porumboiu;;2007.10.09;$89.5K;1h 29m;;;;
JULIETA;74;83;R;Drama;Spanish (Spain);Pedro Almodóvar;Esther García;Pedro Almodóvar;2016.12.21;2017.03.21;$1.5M;1h 36m;Sony Pictures Classics;Datasat, SDDS, Dolby Digital;;
ONCE UPON A TIME IN ANATOLIA;74;93;None;Drama;Turkish;Nuri Bilge Ceylan;Zeynep Ozbatur Atakan;Ercan Kesal, Ebru Ceylan, Nuri Bilge Ceylan;2012.01.04;2012.05.22;;2h 37m;Cinema Guild;;;
ELLE;73;91;R;Mystery & Thriller, Drama;French (France);Paul Verhoeven;Saïd Ben Saïd, Michel Merkt;David Birke, Philippe Djian, David Birke, Harold Manning;2016.11.11;2017.02.21;$2.3M;2h 11m;Sony Pictures Classics;Dolby, Dolby Digital;;
UNDER THE SHADOW;73;99;PG-13;Horror, Mystery & Thriller;Persian;Babak Anvari;Emily Leo, Oliver Roskill, Lucan Toh;Babak Anvari;2016.10.07;2017.01.17;$25.8K;1h 24m;XYZ Films, Vertical Entertainment;;;
IP MAN 3;73;76;PG-13;Action;Chinese;Wilson Yip;Raymond Pak-Ming Wong;Tai-lee Chan, Lai-yin Leung, Edmond Wong;2016.01.22;2016.04.19;$2.5M;1h 45m;Well Go USA;;;Ip Man
