,title,country,genre,original title,rating,ratingcount,url,year,cluster
423,Tokyo Noir (2004),Japan,Drama,,"6,3",31.0,https://www.imdb.com/title/tt0477117/,2004.0,0
424,The Witness (2019),Japan,"Crime, Thriller",Mienai mokugekisha,"6,3",383.0,https://www.imdb.com/title/tt10240688/,2019.0,5
425,Dancing the Twist in Bamako (2021),France,"Drama, History",Twist à Bamako,"6,3",150.0,https://www.imdb.com/title/tt14055038/,2021.0,3
426,The Witnesses (2021),Germany,"Crime, Drama, Thriller",8 Zeugen,"6,2",202.0,https://www.imdb.com/title/tt15629248/,2021.0,0
427,The Romantic Exiles (2015),Argentina,Drama,Los exiliados románticos,"6,2",425.0,https://www.imdb.com/title/tt4594906/,2015.0,3
428,"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause! (1970)",France,"Comedy, Crime",,"6,2",541.0,https://www.imdb.com/title/tt0065686/,1970.0,3
429,Lorsque l'enfant paraît (1956),France,Comedy,,"6,2",11.0,https://www.imdb.com/title/tt0157939/,1956.0,5
430,Nos enfants chéris (2003),France,"Comedy, Drama",,"6,2",427.0,https://www.imdb.com/title/tt0347678/,2003.0,4
431,YPF (2007),Canada,"Comedy, Drama, Romance",Young People Fucking,"6,2",19426.0,https://www.imdb.com/title/tt0913445/,2007.0,4
432,Hatching (2022),Finland,Horror,Pahanhautoja,"6,2",9429.0,https://www.imdb.com/title/tt12519030/,2022.0,5
433,The Red Circle (1960),Denmark,"Thriller, Crime",Der rote Kreis,"6,2",579.0,https://www.imdb.com/title/tt0053228/,1960.0,1
434,A Castle in Spain (2007),France,"Comedy, Drama",Un château en Espagne,"6,2",138.0,https://www.imdb.com/title/tt0864921/,2007.0,2
435,Assassination on the Tiber (1979),Italy,"Comedy, Crime, Drama",Assassinio sul Tevere,"6,2",322.0,https://www.imdb.com/title/tt0078802/,1979.0,4
436,Nobody's Hero (2022),France,Comedy,Viens je t&apos;emmène,"6,2",411.0,https://www.imdb.com/title/tt11669538/,2022.0,3
437,"Farewell, My Queen (2012)",France,"Drama, History, Romance",Les adieux à la reine,"6,2",8733.0,https://www.imdb.com/title/tt1753813/,2012.0,4
438,Sword of the Assassin (2012),Vietnam,"Action, Drama, History",Thiên menh anh hùng,"6,2",818.0,https://www.imdb.com/title/tt2187149/,2012.0,1
439,My Best Friend Anne Frank (2021),Netherlands,Drama,Mijn beste vriendin Anne Frank,"6,2",4497.0,https://www.imdb.com/title/tt10360772/,2021.0,0
440,La educación de las hadas (2006),Spain,"Drama, Romance",,"6,2",870.0,https://www.imdb.com/title/tt0485634/,2006.0,4
441,Amelie or The Time to Love (1961),France,Drama,Amélie ou le temps d&apos;aimer,"6,2",34.0,https://www.imdb.com/title/tt0166076/,1961.0,4
442,The Hunting Party (1971),West Germany,"Action, Drama, Western",,"6,2",3130.0,https://www.imdb.com/title/tt0067224/,1971.0,4
443,Enteng Kabisote: Okay ka fairy ko... The legend (2004),Philippines,"Action, Adventure, Comedy",,"6,2",56.0,https://www.imdb.com/title/tt0422175/,2004.0,3
444,A New Love in Tokyo (1994),Japan,"Drama, Romance",Ai no shinsekai,"6,2",493.0,https://www.imdb.com/title/tt0109059/,1994.0,1
445,In the Name of Love (2011),Philippines,Drama,,"6,2",177.0,https://www.imdb.com/title/tt1906398/,2011.0,1
446,Heartbeats (2019),Thailand,Romance,,"6,1",101.0,https://www.imdb.com/title/tt11358490/,2019.0,0
447,Queen's Blade: The Exiled Virgin (2009),Japan,"Animation, Action, Adventure",Kuînzu bureido: Rurô no senshi,"6,1",436.0,https://www.imdb.com/title/tt1407599/,2009.0,4
448,Oxygen (2010),Netherlands,"Documentary, Short, History",Oxigen,"6,1",24.0,https://www.imdb.com/title/tt2137193/,2010.0,4
449,Super-héros malgré lui (2021),France,"Action, Comedy",,"6,1",2130.0,https://www.imdb.com/title/tt13774454/,2021.0,1
450,Point-Blank (2019),France,"Crime, Drama, Thriller",États d&apos;Urgence,"6,1",53.0,https://www.imdb.com/title/tt11214690/,2019.0,1
451,Xiao zi ming da (1979),Hong Kong,"Action, Comedy",,"6,1",132.0,https://www.imdb.com/title/tt0079142/,1979.0,5
452,Magic Hour: Tom Alone (1989),Canada,Drama,Last Train Home,"6,1",59.0,https://www.imdb.com/title/tt0099989/,1989.0,0
453,Raw Wind in Eden (1958),Australia,"Adventure, Crime, Drama",,"6,1",115.0,https://www.imdb.com/title/tt0052121/,1958.0,4
454,Heartbeat (2014),Canada,Comedy,,"6,1",44.0,https://www.imdb.com/title/tt3275082/,2014.0,4
455,Miami Supercops (1985),Netherlands,"Action, Comedy, Crime",,"6,1",7655.0,https://www.imdb.com/title/tt0089591/,1985.0,4
456,Mountain Miracle (2017),Germany,"Adventure, Drama, Family",Amelie rennt,"6,1",405.0,https://www.imdb.com/title/tt5712474/,2017.0,4
457,"Yi ban hai shui, yi ban huo yan (2008)",Hong Kong,"Crime, Drama",,"6,1",442.0,https://www.imdb.com/title/tt1232825/,2008.0,4
458,In the Shadow of Iris (2016),France,"Drama, Thriller",Iris,"6,1",4442.0,https://www.imdb.com/title/tt5598110/,2016.0,5
459,Tokyo Shaking (2021),France,Drama,,"6,1",451.0,https://www.imdb.com/title/tt11450972/,2021.0,4
460,You Deserve a Lover (2019),France,"Comedy, Drama, Romance",Tu mérites un amour,"6,1",764.0,https://www.imdb.com/title/tt10223546/,2019.0,4
461,Supercop 2 (1993),Hong Kong,"Action, Comedy, Crime",Chiu kup gai wak,"6,1",4091.0,https://www.imdb.com/title/tt0106544/,1993.0,4
462,A Witness Out of the Blue (2019),Hong Kong,"Crime, Mystery, Thriller",Fan zui xian chang,"6,1",646.0,https://www.imdb.com/title/tt11076480/,2019.0,4
463,The Guilty (2000),Hungary,"Crime, Drama, Thriller",,"6,1",3632.0,https://www.imdb.com/title/tt0186183/,2000.0,5
464,Perfect Love (1996),France,"Drama, Romance",Parfait amour!,"6,1",512.0,https://www.imdb.com/title/tt0117296/,1996.0,4
465,The Assassination at Sarajevo (1975),Yugoslavia,"Drama, History",Atentat u Sarajevu,"6,1",298.0,https://www.imdb.com/title/tt0073660/,1975.0,4
466,The Midwife (2014),Germany,Drama,Die Hebamme,"6,1",229.0,https://www.imdb.com/title/tt3353040/,2014.0,4
